aalib 1.4rc5-19
lilv 0.26.2-1
linux 6.18.2.arch2-1
linux-api-headers 6.17-1
linux-firmware 20251125-2
linux-firmware-amdgpu 20251125-2
linux-firmware-atheros 20251125-2
linux-firmware-broadcom 20251125-2
linux-firmware-cirrus 20251125-2
linux-firmware-intel 20251125-2
linux-firmware-mediatek 20251125-2
linux-firmware-nvidia 20251125-2
linux-firmware-other 20251125-2
linux-firmware-radeon 20251125-2
linux-firmware-realtek 20251125-2
linux-firmware-whence 20251125-2
lld 21.1.6-1
lld20 20.1.8-1
llvm 21.1.6-1
llvm-libs 21.1.6-1
llvm20-libs 20.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lua 5.4.8-2
lua-lpeg 1.1.0-4
lua51-lpeg 1.1.0-4
luajit 2.1.1765228720+7152e15-1
luajit-tiktoken-bin 0.2.1-2
luajit-tiktoken-bin-debug 0.2.1-2
lv2 1.18.10-2
lynx 2.9.2-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
magickcache-git 0.9.2.1.r115.g96454f3-1
magickcache-git-debug 0.9.2.1.r115.g96454f3-1
mailcap 2.1.54-2
maim 5.8.1-3
make 4.4.1-2
man-db 2.13.1-1
md4c 0.5.2-1
mesa 1:25.3.2-1
meson 1.10.0-1
microsoft-gsl 4.2.1-1
ming 0.4.8.r68.g04aee523-7
minizip 1:1.3.1-2
mkinitcpio 40-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpd 0.24.6-2
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mypaint-brushes1 1.3.1-2
nasm 3.01-1
ncmpcpp 0.10.1-6
ncurses 6.5-4
neofetch 7.1.0-2
neovim 0.11.5-1
net-snmp 5.9.4-7
netpbm 10.86.48-1
nettle 3.10.2-1
networkmanager 1.54.3-1
nftables 1:1.1.6-1
ninja 1.13.2-1
node-gyp 12.1.0-1
nodejs 25.2.1-1
nodejs-nopt 7.2.1-1
npm 11.6.4-1
npth 1.8-1
nspr 4.38.2-1
nss 3.119.1-1
numactl 2.0.19-1
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
openal 1.25.0-1
opencore-amr 0.1.6-2
openexr 3.4.4-1
openh264 2.6.0-1
openjpeg2 2.5.4-1
openssl 3.6.0-1
opus 1.6-1
orc 0.4.41-1
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
otf-comicshanns-nerd 3.4.0-1
